transaction_id,order_id,amount,currency,status,payment_method,created_at
TRY_1001,ORD_7001,1000.00,INR,CAPTURED,UPI,2026-09-05T10:00:00
TRY_1002,ORD_7002,2500.00,INR,CAPTURED,CARD,2026-09-05T10:05:00
TRY_1003,ORD_7003,5000.00,INR,CAPTURED,CARD,2026-09-05T10:10:00
TRY_1004,ORD_7004,1200.00,INR,CAPTURED,UPI,2026-09-05T10:15:00
TRY_1005,ORD_7005,850.00,INR,CAPTURED,NETBANKING,2026-09-05T10:20:00
TRY_1006,ORD_7006,3200.00,INR,CAPTURED,UPI,2026-09-05T10:25:00
TRY_1007,ORD_7007,4500.00,INR,CAPTURED,CARD,2026-09-05T10:30:00
TRY_1008,ORD_7008,999.00,INR,CAPTURED,UPI,2026-09-05T10:35:00
TRY_1009,ORD_7009,1800.00,INR,CAPTURED,CARD,2026-09-05T10:40:00
TRY_1010,ORD_7010,2200.00,INR,CAPTURED,UPI,2026-09-05T10:45:00
