settlement_id,transaction_id,settled_amount,currency,settlement_status,bank_reference
SETTL_7001,TRY_1001,1000.00,INR,SETTLED,UTRTRY0001
SETTL_7002,TRY_1002,2500.00,INR,SETTLED,UTRTRY0002
SETTL_7003,TRY_1003,4900.00,INR,SETTLED,UTRTRY0003
SETTL_7005,TRY_1005,850.00,INR,SETTLED,UTRTRY0005
SETTL_7006,TRY_1006,3200.00,INR,SETTLED,UTRTRY0006
SETTL_7007,TRY_1007,4500.00,INR,SETTLED,UTRTRY0007
SETTL_7008,TRY_1008,999.00,INR,SETTLED,UTRTRY0008
SETTL_7009,TRY_1009,1700.00,INR,SETTLED,UTRTRY0009
SETTL_7010,TRY_1010,2200.00,INR,SETTLED,UTRTRY0010
SETTL_9999,TRY_UNKNOWN,750.00,INR,SETTLED,UTRTRY9999
